time,RF_GRF_x,RF_GRF_y,RF_GRF_z,RF_ThC1_theta,RF_ThC1_vel,RF_ThC3_theta,RF_ThC3_vel,RF_CTr_theta,RF_CTr_vel,RF_TrF_theta,RF_TrF_vel,RF_FTi_theta,RF_FTi_vel
0.042,0.0,0.0,0.0,-0.29327434812844927,1.1338144398173877,0.5752654423329174,-0.3847644481609347,0.9299399716955065,-2.8061116173015987,0.19986069941097553,1.1747932579604659,-0.03955492362115551,4.5102074115521
0.044,0.0,0.0,0.0,-0.2910142745558753,1.130036786286981,0.5744869479571179,-0.3892471878997883,0.9243739337619317,-2.7830189667873984,0.2022179204756678,1.178610532346136,-0.03060078193826303,4.477070841446238
0.046,0.0,0.0,0.0,-0.2887787557312487,1.1177594123132906,0.5736793157730157,-0.40381609205109026,0.9189579980566983,-2.7079678526166773,0.204599953823867,1.1910166740995987,-0.021862027961058184,4.369376988602423
0.048,0.0,0.0,0.0,-0.28655667272502927,1.1110415031097276,0.572855280023242,-0.4120178748868164,0.9136303289872454,-2.6638345347264614,0.2069958671885709,1.1979566823519527,-0.01325063258395293,4.305697688552627
0.05,0.0,0.0,0.0,-0.28434970501451773,1.1034838552557713,0.5720127902620882,-0.421244880576932,0.9084019598830452,-2.6141845521001073,0.20940739557184268,1.2057641916358857,-0.004782515631959586,4.2340584759966715
0.052000000000000005,0.0,0.0,0.0,-0.2821605944569719,1.0945552787729185,0.5711476950252455,-0.4325476184213195,0.9033003679472327,-2.5507959679062497,0.21183780240942116,1.2152034187892373,0.003501676184898205,4.142095908428896
0.054,0.0,0.0,0.0,-0.2799789243798284,1.0908350385717414,0.5702731808401993,-0.4372570925231245,0.8982515998315819,-2.5243840578254018,0.21427607526962733,1.2191364301030876,0.011709232528782554,4.103778171942174
0.056,0.0,0.0,0.0,-0.27781825818623607,1.080333096796171,0.5693708593129165,-0.45116076364137836,0.8933650006367121,-2.4432995974348892,0.2167370970267181,1.2305108785453793,0.019680252591007266,3.985510031112356
0.058,0.0,0.0,0.0,-0.275662360018554,1.07794908384104,0.568461969601333,-0.4544448557917691,0.8885177610899564,-2.4236197733778497,0.21920337932481462,1.2331411490482669,0.027593638730897693,3.9566930699452136
0.06,0.0,0.0,0.0,-0.27352258650575095,1.0698867564015169,0.5675305388378312,-0.46571538175088634,0.8838069006325042,-2.3554302287260853,0.22168757571934686,1.2420981972661171,0.03530705631537904,3.856708792240673
0.062,0.0,0.0,0.0,-0.27138983909734027,1.0663737042053423,0.5665886240440646,-0.4709573968832981,0.8791616892291635,-2.322605701670366,0.22417979038999342,1.2461073353232792,0.042923719142036236,3.8083314133285984
