time,LM_GRF_x,LM_GRF_y,LM_GRF_z,LM_CTr_pos,LM_CTr_acc,LM_TrF_pos,LM_TrF_acc,LM_FTi_pos,LM_FTi_acc
0.17,0.0,0.0,0.0,0.16207228493824608,0.1358735127434182,-0.36982010353313743,-0.24925635471413743,-0.2640214058252069,-0.3333807237437327
0.17200000000000001,0.0,0.0,0.0,0.1462475617098101,0.1186103580496313,-0.37190716055584344,-0.2516227990441617,-0.24596083699139132,-0.3138278950709616
0.17400000000000002,0.0,0.0,0.0,0.12211806445294777,0.09379202190322548,-0.369071203493367,-0.2511735035452336,-0.21889768150773845,-0.28492633910345977
0.176,0.0,0.0,0.0,0.0900910830873593,0.06194431038420235,-0.36183153318792655,-0.24830390114830095,-0.18360829693187378,-0.24760515711638678
0.178,0.0,0.0,0.0,0.05101351768943267,0.023956870242247907,-0.3510346754561174,-0.24358466508126178,-0.14139636946515108,-0.20327176082958517
0.18,0.0,0.0,0.0,0.0060171353345204875,-0.019071108162747256,-0.33758653006600225,-0.23758132344599842,-0.0938734769022924,-0.15356466692803383
0.182,0.0,0.0,0.0,-0.0436147562776584,-0.06595059148421782,-0.3222491489706285,-0.2307330463256624,-0.042762673860441726,-0.10015516066441889
0.184,0.0,0.0,0.0,-0.09653241561050852,-0.11547139293595432,-0.3055448504092252,-0.22330598312376465,0.010241215072614211,-0.04462311816130416
0.186,0.0,0.0,0.0,-0.15135680638660992,-0.16642829136039178,-0.2877478259866824,-0.21539807795269775,0.06355209644047799,0.011605584030524335
0.188,0.0,0.0,0.0,-0.2066830522071406,-0.21761879945246673,-0.2689230324352264,-0.20696729042468862,0.1157277952230486,0.06727907525386854
0.19,0.0,0.0,0.0,-0.2610663175068721,-0.2678214692376897,-0.24898037685863336,-0.19786497689503926,0.1654761473990724,0.12130430152417028
0.192,0.0,0.0,0.0,-0.31300237176216544,-0.3157687305979767,-0.2277271352636814,-0.18786444871777158,0.21164358280861684,0.17271868042937685
0.194,0.0,0.0,0.0,-0.36091017854825463,-0.3601183118147401,-0.20491236451662925,-0.1766832581925436,0.2531917017973719,0.22065140257795413
0.196,0.0,0.0,0.0,-0.4031195435611917,-0.39942487826579753,-0.18026232274651988,-0.16400028618350945,0.28916224999688417,0.26427345567237576
0.198,0.0,0.0,0.0,-0.43786334604065846,-0.4321124195358145,-0.15350750862486345,-0.14946935582755452,0.3186273526826577,0.3027339147544034
0.2,0.0,0.0,0.0,-0.4632711132771491,-0.4564469089606724,-0.12440182455461198,-0.1327311011182729,0.34061979210496834,0.335078010027817
0.202,0.0,0.0,0.0,-0.478161835764441,-0.4713104340792708,-0.0929674505841155,-0.11365804608846951,0.3545969860907705,0.3607038311301397
