time,LF_Torque_Troch_CS_x,LF_Torque_Troch_CS_y,LF_Torque_Troch_CS_z,LF_Torque_Tibia_CS_x,LF_Torque_Tibia_CS_y,LF_Torque_Tibia_CS_z,LF_ThC1_theta,LF_ThC1_vel,LF_ThC3_theta,LF_ThC3_vel,LF_CTr_theta,LF_CTr_vel,LF_TrF_theta,LF_TrF_vel,LF_FTi_theta,LF_FTi_vel
8.0,-0.04586398600863213,0.1733396626346438,0.18043763544368843,-0.034446331965166936,0.07914346657268902,0.02525557185356789,0.252591636472898,-0.49180020382464384,0.7964646096184539,0.36115750503992183,1.095735532613547,-1.0736587967586475,-0.24830514271026227,-0.05445017943765118,0.4124220069044372,-1.5287056807670285
8.01,-0.044632544385857995,0.1713178527690129,0.17991631666109634,-0.03363045729886199,0.07732103105327862,0.02606360400082602,0.24775757912414906,-0.4834057348748949,0.799954023572457,0.3489413954003151,1.0851480229804598,-1.0587509633087189,-0.24888912964073515,-0.0583986930472874,0.39727315374567124,-1.5148853158765963
8.02,-0.0425622241937442,0.16388733626178723,0.17987766798772636,-0.03165828889885096,0.07265885047897394,0.026995416878947513,0.24321724728231,-0.45403318418390515,0.8030219284627571,0.3067904890300066,1.075092747133057,-1.0055275847402845,-0.2496122473533518,-0.07231177126166555,0.3826206257172161,-1.4652528028455125
8.03,-0.041385181264502,0.16109655558871,0.17946535374599717,-0.030727368038648173,0.07052749183679544,0.02775708916589171,0.23878025264318617,-0.4436994639123837,0.805944794145698,0.2922865682940867,1.0652320057627975,-0.9860741370259385,-0.250384959905505,-0.07727125521532208,0.36815175907250214,-1.4468866644713974
8.040000000000001,-0.03993416393149472,0.1560173906588414,0.17927148187205927,-0.029317863759529147,0.0672132878627394,0.02853412375648752,0.23453270954237385,-0.4247543100812323,0.8086017546151466,0.26569604694486326,1.0557279109339688,-0.9504094828828746,-0.25124859633014196,-0.08636364246369377,0.3540196049646481,-1.4132154107854011
8.05,-0.038706368222266876,0.15176107523037258,0.1790290764318455,-0.02810993680104623,0.06437938733663987,0.029253161609912582,0.2304373508097196,-0.4095358732654236,0.8110489961227354,0.24472415075887932,1.0465215924893603,-0.9206318444608508,-0.25218626423066953,-0.09376679005275723,0.34017232282643994,-1.3847282138208183
8.06,-0.03771723879068081,0.14863990659498733,0.17867900607781517,-0.027168408108463604,0.0621866079071446,0.02992435218785209,0.22644852113477593,-0.39888296749436836,0.8133494343570224,0.230043823428705,1.0375237175137058,-0.8997874975654518,-0.2531757541643206,-0.09894899336510554,0.32652445106698347,-1.3647871759456476
8.07,-0.036507918065111736,0.1432419264612908,0.17858291814050176,-0.025748061569370408,0.05880844956764044,0.03057533680084406,0.2226486613789817,-0.37998597557942215,0.8153932035154349,0.2043769158412423,1.0289104546608618,-0.8613262852843917,-0.2542584869642096,-0.1082732799889019,0.3132496830242167,-1.3274768042766782
8.08,-0.03511482847278538,0.13868266084192646,0.17833687406121543,-0.024667581396362683,0.05628717033652892,0.03126320855730415,0.21890130312972456,-0.3747358249257149,0.817365834391927,0.1972630876492132,1.0204050566927327,-0.8505397968129103,-0.25536721609820795,-0.1108729133998343,0.30007991265304457,-1.3169770371172118
8.09,-0.034592138920450696,0.13620415714866715,0.1772594757023671,-0.024123796117084272,0.054599400998036875,0.031625051984657294,0.21349383011237758,-0.5407473017346981,0.8202134627047951,0.2847628312868111,1.0107429085868718,-0.9662148105860968,-0.2565721967508554,-0.12049806526474582,0.2873108922844529,-1.2769020368591677
