time,LF_GRF_x,LF_GRF_y,LF_GRF_z,LF_ThC1_theta,LF_ThC1_vel,LF_ThC3_theta,LF_ThC3_vel,LF_CTr_theta,LF_CTr_vel,LF_TrF_theta,LF_TrF_vel,LF_FTi_theta,LF_FTi_vel
0.11,0.0,0.0,0.0,0.3939596103198843,-3.7297250983135686,-0.6260372938617819,0.5841416926143372,0.521507004495414,29.670158425583903,-0.27908207395626927,11.689845344982851,0.45883585321920894,-33.40175767291398
0.112,0.0,0.0,0.0,0.3855773749741067,-4.191117672888795,-0.6240110465029932,1.0131236793943232,0.5821595821031542,30.326288803870117,-0.2578365460739857,10.622763941141782,0.3880870364422328,-35.37440838848807
0.114,0.0,0.0,0.0,0.3768297751041485,-4.373799934979106,-0.6212758548537224,1.3675958246354147,0.6427216963114943,30.28105710417006,-0.23910283716857494,9.36685445270538,0.31508015800654127,-36.50343921784577
0.116,0.0,0.0,0.0,0.36816823804966103,-4.330768527243733,-0.6179402364421958,1.6678092057633154,0.7018791243836653,29.578714036085472,-0.2231014728816469,8.000682143464028,0.24166493736151445,-36.7076103225134
0.11800000000000001,0.0,0.0,0.0,0.35992403651932675,-4.122100765167142,-0.6140904885389324,1.924873951631656,0.7583395752536899,28.2302254350123,-0.20991867084830484,6.591401016671022,0.16985205692725885,-35.9064402171278
0.12,0.0,0.0,0.0,0.352302055676635,-3.8109904213458887,-0.6098164126321155,2.1370379534084716,0.810788796738979,26.224610742644536,-0.19952385732118177,5.197406763561535,0.10179720109807637,-34.02742791459124
0.122,0.0,0.0,0.0,0.34538376637117163,-3.4591446527316716,-0.6052406015531749,2.2879055394702807,0.8578818805555601,23.546541908290585,-0.1917834491082524,3.870204106464686,0.039755081509794156,-31.021059794141106
0.124,0.0,0.0,0.0,0.33914165822300496,-3.1210540740833346,-0.6005426350989868,2.3489832270940925,0.8982851320629625,20.20162575370116,-0.18647560404979105,2.6539225292306763,-0.014020604634705204,-26.88784307224968
0.126,0.0,0.0,0.0,0.3334673997061104,-2.837129258447285,-0.5959643729307298,2.2891310841284818,0.930783915659968,16.249391798502767,-0.18331219264178047,1.5817057040052873,-0.05745804246003568,-21.718718912665235
0.128,0.0,0.0,0.0,0.3282134833949775,-2.626958155566433,-0.5917817854858145,2.0912937224576433,0.9544616804067457,11.83888237338887,-0.18197194952130455,0.6701215602379629,-0.08894231006141148,-15.742133800687903
0.13,0.0,0.0,0.0,0.32324166786341685,-2.4859077657803375,-0.5882397718431518,1.7710068213313557,0.9689280546946931,7.233187143973696,-0.18214085863049528,-0.08445455459536733,-0.10765781331866178,-9.357751628625149
0.132,0.0,0.0,0.0,0.31846266264848605,-2.389502607465399,-0.5854708727231254,1.3844495600132123,0.9745349006945117,2.8034229999092664,-0.18354454944567616,-0.7018454075904401,-0.11391183034586423,-3.1270085136012247
0.134,0.0,0.0,0.0,0.31384761100517405,-2.307525821655998,-0.5834405264622536,1.0151731304358647,0.9724974348270491,-1.0187329337312812,-0.18595168934362097,-1.203569948972402,-0.10931615978836515,2.297835278749542
0.136,0.0,0.0,0.0,0.3094018120382596,-2.222899483457219,-0.5819529675750411,0.7437794436062628,0.9648689705807173,-3.814232123165895,-0.1891366806322317,-1.5924956443053722,-0.09674578742349464,6.285186182435252
0.138,0.0,0.0,0.0,0.30511190499171065,-2.1449535232744843,-0.5807102903629776,0.6213386060317516,0.954397455329499,-5.235757625609128,-0.19281151974633742,-1.837419557052855,-0.08011122186451981,8.317282779487414
0.14,0.0,0.0,0.0,0.30091764238338226,-2.0971313041641957,-0.5794375124979907,0.6363889324934591,0.9437548371344476,-5.321309097525706,-0.19664469994172307,-1.9165900976928218,-0.06322736745699234,8.441927203763736
0.14200000000000002,0.0,0.0,0.0,0.2967942798863669,-2.0616812485076683,-0.578085823572685,0.6758444626528415,0.9334907502786921,-5.132043427877764,-0.20055333808215142,-1.9543190702141777,-0.04688115429626055,8.173106580365893
0.14400000000000002,0.0,0.0,0.0,0.2944937132843597,-1.1502833010036129,-0.577279341076979,0.4032412478530145,0.9278786124777263,-2.8060689004829054,-0.20280735102257677,-1.127006470212674,-0.0379098187337788,4.485667781240876
0.146,0.0,0.0,0.0,0.29220072538681446,-1.1464939487726145,-0.5764641789283644,0.40758107430727275,0.9223123115742634,-2.783150451731442,-0.20506977791208922,-1.1312134447562239,-0.029004268843139867,4.452774945319466
0.148,0.0,0.0,0.0,0.2899323682787704,-1.1341785540220362,-0.5756208079077976,0.4216855102834316,0.9168949805876846,-2.7086654932894083,-0.20735955013613497,-1.1448861120228748,-0.020312522385989656,4.345873228575105
0.15,0.0,0.0,0.0,0.28767753808134183,-1.1274150987142795,-0.574761567373913,0.4296202669422655,0.9115653065954136,-2.664836996135511,-0.20966468559022458,-1.1525677270448065,-0.011747233446276845,4.282644469856406
0.152,0.0,0.0,0.0,0.28543792565835574,-1.1198062114930463,-0.5738844736375462,0.43854686818339816,0.9063342467217389,-2.6155299368373353,-0.2119871046781136,-1.1612095439445107,-0.003324209213680979,4.211512116297933
0.154,0.0,0.0,0.0,0.2832163653994413,-1.1107801294572284,-0.57298552607963,0.44947377895809826,0.9012291674752225,-2.5525396232581876,-0.21433052368949845,-1.1717095056924254,0.004916140646656558,4.120174930168769
0.156,0.0,0.0,0.0,0.2810023268755568,-1.1070192619422325,-0.5720774727627349,0.4540266584475705,0.8961765801566891,-2.5262936592667096,-0.21668269266900647,-1.176084489754009,0.013080376185219499,4.08211776928147
0.158,0.0,0.0,0.0,0.27880962069251297,-1.0963530915219233,-0.5711425561908517,0.4674582859415799,0.8912852419972276,-2.445669079730761,-0.21906031310254956,-1.1888102167715435,0.02100962015210801,3.9646219834442555
0.16,0.0,0.0,0.0,0.27662177594097975,-1.0939223757666094,-0.5702012977854872,0.47062920268226005,0.8864330577672547,-2.4260921149864556,-0.22144384801802905,-1.1917674577397452,0.028881595204724185,3.9359875263080877
0.162,0.0,0.0,0.0,0.2744503959370841,-1.085690001947831,-0.5692382792732482,0.48150925611950557,0.881716560870166,-2.35824844854432,-0.22384756050845164,-1.2018562452112969,0.03655485453247468,3.8366296638752475
0.164,0.0,0.0,0.0,0.2722862352673737,-1.0820803348551844,-0.5682651470532221,0.4865661100130758,0.8770654186063709,-2.3255711318975747,-0.22626037639229477,-1.2064079419215612,0.04413193999872597,3.788542733125646
0.166,0.0,0.0,0.0,0.2701323879322137,-1.0769236675799987,-0.5672775666792144,0.4937901870038508,0.8725076401044235,-2.2788892509736924,-0.22868619712388163,-1.2129103657934348,0.05157163423426438,3.7198471177692025
0.168,0.0,0.0,0.0,0.26798841790527783,-1.0719850134679465,-0.5662751525052897,0.5012070869623297,0.8680489516003981,-2.2293442520127105,-0.23112485963114396,-1.2193312536311618,0.05886482734685213,3.6465965562938774
0.17,0.0,0.0,0.0,0.26584983550100966,-1.0692912021340872,-0.5652646471677739,0.505252668757894,0.8636443121861482,-2.2023197071249223,-0.23357052674332024,-1.2228335560881403,0.06607811075601243,3.606641704580148
0.17200000000000001,0.0,0.0,0.0,0.2637228757716886,-1.063479864660516,-0.5642351857879075,0.5147306899331849,0.8593702419966698,-2.137035094739226,-0.23603181284480307,-1.2306430507414146,0.07309747586412024,3.509682554053907
0.17400000000000002,0.0,0.0,0.0,0.2615987880683035,-1.0620438516925623,-0.5632008189411268,0.517183423390355,0.8551304275719913,-2.1199072123392337,-0.23849702398780634,-1.2326055715016353,0.08006585557416643,3.4841898550230925
0.176,0.0,0.0,0.0,0.2594846178844907,-1.0570850919064123,-0.5621486171348402,0.5261009031433117,0.8510169621585429,-2.0567327067241847,-0.2409760539529066,-1.2395149825501355,0.08684576309980264,3.3899537628181085
0.178,0.0,0.0,0.0,0.2573737844623746,-1.0554167110580492,-0.561089676894205,0.5294701203176211,0.846952468880836,-2.0322466388534854,-0.24345992454285223,-1.2419352949728095,0.09355231265258843,3.3532747763928907
0.18,0.0,0.0,0.0,0.2552690684367026,-1.0523580128359855,-0.560018382857264,0.5356470184704754,0.8429777578519887,-1.9873555144236388,-0.24595266961168083,-1.2463725344143,0.10012437258848124,3.2860299679464062
0.182,0.0,0.0,0.0,0.2531689427742277,-1.0500628312374582,-0.558936439861719,0.5409714977724911,0.8390822369597272,-1.947760446130764,-0.24845238733763927,-1.2498588629792222,0.10657733217606336,3.226479793791058
0.184,0.0,0.0,0.0,0.2510720303659907,-1.048456204118503,-0.5578470425951513,0.5446986332838799,0.8352421491630755,-1.9200438983258405,-0.25095698592358867,-1.2522992929746983,0.11294692151982812,3.1847946718823805
0.186,0.0,0.0,0.0,0.2489802880212706,-1.0458711723600467,-0.5567434556660191,0.5517934645660749,0.8315097575853186,-1.866195788878422,-0.25346987616976796,-1.2564451230896445,0.11915391749843338,3.1034979893026295
0.188,0.0,0.0,0.0,0.24688993989861413,-1.04517406132823,-0.5556358598659352,0.5537979000419524,0.8278079250417172,-1.8509162718007288,-0.25598503454075866,-1.25757918549535,0.12531473625717313,3.080409379369875
0.19,0.0,0.0,0.0,0.24462106893267377,-1.1344354829701808,-0.5539590548625145,0.8384025017103558,0.8240428116079292,-1.8825567168939683,-0.25850805435937146,-1.261509909306402,0.13129418246432528,2.989723103576078
0.192,0.0,0.0,0.0,0.24224727491045372,-1.1868970111100219,-0.5513543925389048,1.3023311618048372,0.820565361012289,-1.7387252978200984,-0.2610330448666998,-1.2624952536641754,0.13721825723238093,2.9620373840278242
0.194,0.0,0.0,0.0,0.2397778568145642,-1.2347090479447598,-0.547942256442466,1.7060680482194335,0.8173436456160593,-1.6108576981148648,-0.2635627650269455,-1.2648600801228316,0.1430094405466044,2.895591657111729
0.196,0.0,0.0,0.0,0.2372221136276156,-1.2778715934742972,-0.5438430301205573,2.049613160954311,0.8143457377805031,-1.4989539177781008,-0.26609518819146594,-1.2662115822602293,0.14870317330916266,2.8468663812791366
0.198,0.0,0.0,0.0,0.2345893443322182,-1.316384647698704,-0.5391770971205384,2.33296650000947,0.8115397098668832,-1.403013956809973,-0.268630014026453,-1.2674129174935211,0.15431028335912977,2.803555024983556
0.2,0.0,0.0,0.0,0.23188884791098233,-1.350248210617938,-0.5340648409897689,2.556128065384744,0.8088936342364624,-1.3230378152103706,-0.27116756529916763,-1.2687756363573277,0.1597796569249556,2.734686782912915
0.202,0.0,0.0,0.0,0.22912992334651827,-1.3794622822320273,-0.5286266452756083,2.7190978570802993,0.806375583250504,-1.2590254929792377,-0.27370595516810614,-1.2691949344692532,0.16520665003412263,2.713496554583514
