time,RH_GRF_x,RH_GRF_y,RH_GRF_z,RH_CTr_theta,RH_CTr_vel,RH_TrF_theta,RH_TrF_vel,RH_FTi_theta,RH_FTi_vel
0.08,-7.7908845955747825,2.0662290075021694,9.857113603076952,-0.1348314155006407,3.0774513156501535,-0.06175196195022004,2.3638623194755617,0.09983598308304394,-3.2247584949059576
0.082,-7.4329238241766795,1.90948776622484,9.34241159040152,-0.12863627764637478,3.0975689271329627,-0.05701806116034946,2.3669503949352926,0.09332305426372603,-3.2564644096589532
0.084,-7.076198423757743,1.7540864143856658,8.83028483814341,-0.12235884324010642,3.138717203134182,-0.05226906810355472,2.374496528397368,0.0866806123276303,-3.321220968047864
0.08600000000000001,-6.723515265665046,1.6041236962172676,8.327638961882315,-0.11605775277194166,3.150545234082376,-0.047515551458197844,2.3767583226784392,0.08000095826526935,-3.3398270311804783
0.088,-6.342654522483596,1.4386963138306672,7.781350836314264,-0.10910830239549904,3.4747251882213113,-0.04217068585966489,2.672432799266478,0.07237870413655426,-3.8111270643575446
0.09,-5.881473282808733,1.1543010812146897,7.271840890838907,-0.1016305248189424,3.73888878827832,-0.036242463546257035,2.9641111567039258,0.06372255910763404,-4.328072514460109
0.092,-5.296710326992385,0.6801168398890408,6.860310533503566,-0.09366505182549353,3.9827364967244328,-0.0297910404265978,3.2257115598296173,0.054130724545670354,-4.7959172809818424
0.094,-4.686921386994813,0.17211909788332402,6.448690728891124,-0.08525251519837415,4.206268313559691,-0.022876572409310663,3.4572340086435682,0.04370140181782481,-5.214661363922772
0.096,-4.059000701068703,-0.36133015789258804,6.041668700178532,-0.076433546720806,4.409484238784074,-0.015559215403019142,3.6586785031457607,0.032532792291259015,-5.584304763282897
0.098,-3.419493278318826,-0.91233536866983,5.643048936194962,-0.0672487781760109,4.592384272397553,-0.007899125316346726,3.8300450433362077,0.02072309733313463,-5.904847479062192
0.1,-2.774502061654283,-1.4735193185719488,5.255657185224754,-0.05773884134721053,4.7549684144001825,4.354194208307065e-05,3.9713336292148984,0.008370518310613263,-6.176289511260683
0.10200000000000001,-0.5742251232553038,-2.6161499723153923,5.1829788718005965,-0.03790598997048113,9.9164256883647,0.01653598433972083,8.24622119881888,-0.017570486458973897,-12.97050238479358
0.10400000000000001,0.5288562368336993,-2.9503393328467693,5.499328650549327,-0.02766433898899558,5.1208254907427735,0.02496544766168179,4.21473166098048,-0.030962509471716446,-6.696011506371274
0.106,1.6201895559629373,-3.2801356282992526,5.816022005742172,-0.01726004685639181,5.202146066301886,0.033436864520906134,4.235708429612171,-0.04450461108020945,-6.771050804246501
0.108,2.6153856158047297,-3.5699537798633436,6.185339395668073,-0.006733745355891564,5.263150750250123,0.04189007900877037,4.226607243932118,-0.05809858991729131,-6.796989418540931
0.11,3.173479112476694,-3.6779507593316385,6.851429871808333,0.0038739337292833884,5.303839542587476,0.050264935216650986,4.187428103940308,-0.0716462446158004,-6.7738273492545416
0.112,3.7098010724153165,-3.7747260786768493,7.484527151092166,0.014522358615911283,5.3242124433139475,0.058501277235924465,4.11817100963674,-0.08504937380857507,-6.701564596387335
0.114,4.220210017705227,-3.857426862124459,8.077636879829686,0.02517089752077039,5.3242694524295535,0.06653894915796733,4.018835961021434,-0.09820977612845369,-6.580201159939312
0.116,4.701016247629586,-3.9231960831984924,8.62421233082808,0.03577891866063897,5.304010569934288,0.07431779507415609,3.889422958094378,-0.11102925020827464,-6.4097370399104765
0.11800000000000001,5.149052258485528,-3.969186179631992,9.11823843811752,0.046305790252295205,5.263435795828119,0.08177765907586723,3.729932000855571,-0.12340959468087634,-6.190172236300848
0.12,4.735753871816192,-3.9353630561967337,8.671116928012925,0.0364148569674751,-4.945466642410051,0.07490180028287668,-3.4379293964952735,-0.11195532912760141,5.727132776637466
0.122,5.149052258485494,-3.9691861796322607,9.118238438117753,0.046305790252295205,4.945466642410051,0.08177765907586722,3.4379293964952664,-0.12340959468087634,-5.727132776637466
0.124,5.554973942748615,-4.004417991220016,9.55939193396863,0.05634495484321867,5.019582295461733,0.08876604048013016,3.494190702131472,-0.13508483503113702,-5.8376201751303425
0.126,5.952451453793702,-4.041057488487372,9.993508942281075,0.06653832481926376,5.096684988022546,0.09587652164411262,3.555240581991227,-0.14698912218913,-5.952143578996482
0.128,6.340269708766813,-4.07908475874102,10.419354467507834,0.0768923588521881,5.1770170164621705,0.10311958784129553,3.6215330985914576,-0.1591311590560366,-6.071018433453299
0.13,6.717043630618121,-4.118456495561539,10.83550012617966,0.08741405886111625,5.260850004464072,0.11050675816220776,3.693585160456113,-0.17152035415611702,-6.194597550040218
0.132,7.081196247752362,-4.159101568069963,11.240297815822325,0.09811107533348841,5.348508236186079,0.11805081138253971,3.772026610165978,-0.1841669557467894,-6.3233007953361895
0.134,7.430922389199183,-4.200913085535275,11.631835474734459,0.10899174306145604,5.440333863983813,0.1257658836039198,3.857536110690042,-0.19708209501627197,-6.457569634741284
0.136,7.764148957801486,-4.243739320558489,12.007888278359975,0.12006515211696031,5.5367045277521365,0.13366763375139504,3.9508750737376195,-0.21027787492704436,-6.597889955386196
0.138,8.078496954664203,-4.2873748507719185,12.365871805436122,0.13134131296441262,5.638080423726155,0.14177361469102073,4.052990469812848,-0.2237675783796615,-6.744851726308565
0.14,8.37122305818286,-4.331546239653616,12.702769297836475,0.1428312417451898,5.744964390388588,0.15010349776648738,4.164941537733322,-0.23756577195747539,-6.899096788906947
0.14200000000000002,8.639148322983397,-4.375893666211995,13.015041989195392,0.1545470540768147,5.857906165812457,0.15867931284796688,4.287907540739752,-0.25168842076095405,-7.06132440173933
0.14400000000000002,8.878586451237812,-4.419951804991442,13.298538256229254,0.16650221037937574,5.977578151280513,0.16752603342869943,4.423360290366274,-0.2661531936306405,-7.2323864348432245
0.146,9.085246076659727,-4.463122846015446,13.548368922675174,0.17871172234134297,6.104755980983617,0.17667211931977306,4.573042945536815,-0.280979714059392,-7.413260214375744
0.148,9.254097565004551,-4.50463786397692,13.75873542898147,0.19119228372832403,6.240280693490529,0.18614988534291818,4.738883011572562,-0.29618971618702417,-7.605001063816092
0.15,9.379230303845755,-4.54351352031848,13.922743824164236,0.20396263399349493,6.3851751325854496,0.1959964318065231,4.923273231802458,-0.31180748950938175,-7.808886661178793
0.152,9.453682638297021,-4.578499154958726,14.032181793255747,0.21704410450082923,6.540735253667148,0.2062551216309356,5.129344912206249,-0.3278605373037927,-8.026523897205484
0.154,9.469161082209988,-4.607984382298133,14.07714546450812,0.23046062784729637,6.708261673233573,0.2169756941238538,5.360286246459109,-0.3443795772671408,-8.25951998167404
0.156,9.415758908429556,-4.6299005533918525,14.045659461821408,0.24423942549229755,6.889398822500587,0.22821616580952148,5.620235842833831,-0.3613993652439287,-8.50989398839394
0.158,9.281677640722142,-4.641630370097679,13.92330801081982,0.25841330922149236,7.0869418645974065,0.24004918655299368,5.9165103717361,-0.37896145264813,-8.781043702100671
0.16,9.052398953934036,-4.639676255295543,13.692075209229579,0.2730169100045815,7.301800391544572,0.2525521772948942,6.251495370950266,-0.3971096011748158,-9.07407426334289
0.162,8.546300469766411,-4.609676328902795,13.155976798669206,0.2944308940793666,10.70699203739256,0.271907594598757,9.677708651931404,-0.4237791664923401,-13.334782658762146
0.164,7.968490024969545,-4.569860006876726,12.53835003184627,0.31332793968766504,9.448522804149206,0.29192990560519727,10.011155503220126,-0.44718612310620676,-11.703478306933329
0.166,7.586828039827619,-4.5685793530210335,12.155407392848652,0.3263094140625225,6.490737187428736,0.3109496133543818,9.509853874592272,-0.46279678462582463,-7.805330759808937
0.168,0.0,0.0,0.0,0.3302819630957509,1.986274516614206,0.32663733994534666,7.843863295482422,-0.466488495040837,-1.8458552075061863
0.17,0.0,0.0,0.0,0.3229142403906078,-3.6838613525715656,0.33671172501777713,5.037192536215235,-0.45526412499804825,5.612185021394378
0.17200000000000001,0.0,0.0,0.0,0.30318658395623704,-9.863828217185372,0.34009176145531556,1.6900182187692125,-0.42804200633874323,13.611059329652509
0.17400000000000002,0.0,0.0,0.0,0.27160220963625475,-15.792187159991144,0.33755585656669335,-1.2679524443111045,-0.3859117538660816,21.065126236330805
0.176,0.0,0.0,0.0,0.2298038445485899,-20.899182543832424,0.331172141885194,-3.191857340749671,-0.3315509249193228,27.180414473379404
0.178,0.0,0.0,0.0,0.17988579922253006,-24.95902266302992,0.3231090733214092,-4.031534281892402,-0.26824005295665304,31.655435981334882
0.18,0.0,0.0,0.0,0.1238685548575725,-28.008622182478778,0.3148740856472198,-4.117493837094699,-0.19910984859126735,34.56510218269285
0.182,0.0,0.0,0.0,0.063489467309164,-30.189543774204253,0.3072008058140496,-3.836639916585088,-0.12682004222199728,36.144903184635034
0.184,0.0,0.0,0.0,0.0002030210642853525,-31.64322312243932,0.3002410030893891,-3.4799013623302564,-0.053525980172603974,36.64703102469665
0.186,0.0,0.0,0.0,-0.06473904697207399,-32.471034018179665,0.2937791847583262,-3.2309091655314535,0.019042340185061776,36.28416017883288
0.188,0.0,0.0,0.0,-0.13019558670604992,-32.728269866987965,0.28737906091783205,-3.200061920247077,0.08948290066221447,35.22028023857634
0.19,0.0,0.0,0.0,-0.1950540025096038,-32.42920790177695,0.2804654761072923,-3.456792405269887,0.15663741839758993,33.57725886768773
0.192,0.0,0.0,0.0,-0.2581613054110903,-31.553651450743235,0.2723662821756568,-4.049596965817748,0.21952304439795833,31.4428130001842
0.194,0.0,0.0,0.0,-0.31826581351007643,-30.052254049493076,0.26233466726171334,-5.0158074569717215,0.27727289367024505,28.874924636143355
0.196,0.0,0.0,0.0,-0.3739665298075616,-27.850358148742593,0.24956498215291606,-6.38484255439864,0.3290756420641896,25.901374196972277
0.198,0.0,0.0,0.0,-0.4236676714823281,-24.850570837383234,0.23320941658196917,-8.177782785473445,0.3741040668338953,22.51421238485285
0.2,0.0,0.0,0.0,-0.4655359319233248,-20.934130220498364,0.2123992648678021,-10.40507585708353,0.4114227791150697,18.659356140587196
0.202,0.0,0.0,0.0,-0.4981784389374595,-16.32125350706734,0.1867476314185119,-12.825816724645112,0.44044214725321007,14.509684069070188
